GEOID20,District
34009005002,1
34009005003,1
34009010001,2
34009010002,2
34009010003,2
34009010004,2
34009010005,2
34009015001,2
34009020001,1
34009020002,2
34009020003,1
34009020004,2
34009020005,2
34009020006,1
34009020007,2
34009020008,2
34009025101,1
34009025102,1
34009025103,1
34009025104,1
34009025105,1
34009025106,1
34009025107,1
34009025108,1
34009025109,2
34009025201,1
34009025202,2
34009025203,2
34009025204,2
34009025205,2
34009025206,2
34009025207,2
34009025208,1
34009025209,1
34009025210,2
34009025301,1
34009025302,1
34009025303,2
34009025304,2
34009025305,1
34009025306,2
34009025307,2
34009025308,2
34009025309,2
34009030001,1
34009030002,1
34009030003,1
34009030004,1
34009030005,1
34009030006,1
34009030007,1
34009030008,1
34009030009,1
34009030010,1
34009030011,1
34009030012,1
34009030013,1
34009030014,1
34009030015,1
34009030016,1
34009030017,1
34009030018,1
34009035101,1
34009035102,1
34009035103,2
34009035104,2
34009035201,1
34009035202,1
34009035203,1
34009035204,1
34009040101,2
34009040102,2
34009040103,2
34009040104,2
34009040105,2
34009040201,1
34009040202,2
34009040203,2
34009040204,2
34009040205,2
34009040301,2
34009040302,2
34009040303,1
34009040304,2
34009040305,2
34009040401,2
34009040402,2
34009040403,2
34009040404,2
34009040405,2
34009045001,2
34009045002,2
34009045003,2
34009045004,2
34009050001,1
34009050002,1
34009055001,1
34009055002,1
34009055003,1
34009055004,2
34009055005,2
34009055006,1
34009055007,1
34009055008,1
34009055009,2
34009055010,2
34009055011,2
34009055012,2
34009055013,1
34009055014,2
34009055015,2
34009060001,2
34009060002,2
34009065001,1
34009075001,1
34009075002,1
34009075003,1
34009075004,1
34009075005,1
34009080001,1
34009080002,1
34009140001,1
34009140002,2
34009140003,2
34009140004,1
34009140005,1
34009ZZZZZZ,2
34011005101,2
34011005201,2
34011005202,2
34011005203,2
34011005301,2
34011005302,2
34011005303,2
34011005304,2
34011005305,2
34011005401,2
34011005402,2
34011005501,2
34011010001,2
34011010002,2
34011010003,2
34011010004,2
34011015001,2
34011020001,2
34011020002,2
34011025001,2
34011025002,2
34011025003,2
34011025004,2
34011030001,2
34011035001,2
34011035002,2
34011035003,2
34011040001,2
34011045001,1
34011045002,2
34011050101,1
34011050102,1
34011050103,1
34011050104,1
34011050201,1
34011050202,1
34011050301,2
34011050302,3
34011050303,1
34011050401,1
34011050402,1
34011050403,1
34011050501,2
34011050502,2
34011050503,2
34011050504,2
34011050505,2
34011050506,2
34011055001,2
34011060001,2
34011065001,3
34011065002,3
34011065003,2
34011065004,2
34011070101,3
34011070102,3
34011070103,3
34011070104,3
34011070105,3
34011070106,3
34011070201,3
34011070202,3
34011070203,3
34011070204,1
34011070205,3
34011070206,1
34011070301,1
34011070302,3
34011070303,3
34011070401,3
34011070402,3
34011070403,3
34011070404,3
34011070405,3
34011070406,3
34011070407,3
34011070501,3
34011070502,3
34011070503,3
34011070504,3
34011070505,3
34011070506,1
34011070601,3
34011070602,3
34011070603,1
34011070604,3
34011070605,3
34011070606,3
34011070607,3
34011070608,1
34011070609,3
34011070610,3
34011ZZZZZZ,2
34013005101,0
34013005102,0
34013005103,0
34013005104,0
34013005105,0
34013005106,0
34013005201,0
34013005202,0
34013005203,12
34013005204,0
34013005205,12
34013005206,12
34013005207,0
34013005208,0
34013005301,0
34013005302,0
34013005303,0
34013005304,0
34013005305,0
34013005306,0
34013005401,0
34013005402,0
34013005403,0
34013005404,0
34013005405,0
34013005406,0
34013010102,12
34013010103,0
34013010104,12
34013010105,12
34013010106,0
34013010107,0
34013010108,0
34013010109,12
34013010110,0
34013010111,12
34013010112,12
34013010201,12
34013010202,12
34013010203,12
34013010204,12
34013010205,12
34013010206,12
34013010207,12
34013010208,12
34013010209,12
34013010210,12
34013010211,12
34013010301,0
34013010302,0
34013010304,0
34013010305,0
34013010306,0
34013010307,0
34013010308,0
34013010309,0
34013010310,0
34013010311,0
34013010312,0
34013010313,0
34013010314,0
34013015001,11
34013015002,11
34013015003,11
34013015004,11
34013015005,11
34013015006,11
34013015007,11
34013025001,11
34013025002,11
34013025003,11
34013025004,11
34013025005,11
34013025006,11
34013025007,11
34013025008,11
34013025009,11
34013025010,11
34013027E01,0
34013027E02,0
34013027E04,0
34013027E05,0
34013027N02,11
34013027N03,0
34013027N04,0
34013027N05,0
34013027S01,0
34013027S02,0
34013027S04,0
34013027S05,0
34013027S06,0
34013027W03,0
34013027W04,0
34013027W05,0
34013027W06,0
34013030101,0
34013030102,0
34013030103,0
34013030104,0
34013030105,0
34013030106,0
34013030107,0
34013030109,0
34013030110,0
34013030111,0
34013030201,0
34013030202,0
34013030203,0
34013030204,0
34013030207,0
34013030210,0
34013030211,0
34013030212,0
34013030301,0
34013030302,0
34013030303,0
34013030304,0
34013030305,0
34013030306,0
34013030309,0
34013030310,0
34013030311,0
34013030312,0
34013030313,0
34013030314,0
34013030401,0
34013030402,0
34013030403,0
34013030404,0
34013030405,0
34013030406,0
34013030407,0
34013030409,0
34013030410,0
34013030412,0
34013030501,0
34013030503,0
34013030504,0
34013030505,0
34013030506,0
34013030507,0
34013030508,0
34013030509,0
34013030510,0
34013030512,0
34013030513,0
34013035001,11
34013035002,11
34013037001,11
34013037002,11
34013037003,11
34013037004,11
34013037005,11
34013040001,0
34013040002,12
34013040003,0
34013040004,12
34013040005,0
34013040007,0
34013040008,12
34013045E01,0
34013045E02,0
34013045E03,0
34013045E04,0
34013045E05,0
34013045E08,0
34013045E09,0
34013045N01,0
34013045N02,0
34013045N03,0
34013045N04,0
34013045N05,0
34013045N06,0
34013045N07,0
34013045N08,0
34013045N09,0
34013045N10,0
34013045S01,0
34013045S02,0
34013045S03,0
34013045S05,0
34013045S07,0
34013045S08,0
34013045S09,0
34013045S10,0
34013045S11,0
34013045W01,0
34013045W02,0
34013045W03,0
34013045W04,0
34013045W06,0
34013045W07,0
34013045W08,0
34013045W09,0
34013050001,11
34013050002,11
34013050003,11
34013050004,11
34013050005,11
34013050006,11
34013050007,11
34013050008,11
34013050009,11
34013050010,11
34013050011,9
34013050012,11
34013050013,11
34013050014,11
34013050015,11
34013050016,9
34013050017,11
34013050018,11
34013050019,9
34013050020,11
34013050021,11
34013050022,11
34013050023,11
34013050024,11
34013050025,11
34013050026,9
34013055001,0
34013055002,11
34013055003,0
34013055004,0
34013055005,0
34013055006,0
34013055007,0
34013055008,0
34013055009,0
34013055010,0
34013055011,0
34013055012,0
34013055013,0
34013055014,0
34013055015,0
34013055016,0
34013055017,0
34013055019,0
34013055020,0
34013055021,0
34013055022,0
34013060001,11
34013060002,11
34013060003,11
34013060004,9
34013060005,11
34013060006,11
34013060007,0
34013060008,11
34013060009,11
34013060010,0
34013060011,11
34013060012,11
34013060013,11
34013060014,11
34013060015,11
34013060016,11
34013065101,11
34013065102,11
34013065103,12
34013065104,11
34013065105,11
34013065106,11
34013065107,12
34013065108,12
34013065109,11
34013065201,11
34013065202,11
34013065203,11
34013065204,11
34013065205,12
34013065206,12
34013065207,11
34013065208,12
34013065209,11
34013065210,11
34013065301,11
34013065302,11
34013065303,11
34013065304,11
34013065305,0
34013065306,11
34013065307,11
34013065308,11
34013065401,12
34013065402,11
34013065403,0
34013065404,0
34013065405,12
34013065406,0
34013065407,11
34013065408,11
34013070C01,0
34013070C03,0
34013070C04,0
34013070C05,0
34013070C06,0
34013070C07,0
34013070C08,0
34013070C09,0
34013070C12,0
34013070C15,0
34013070C17,0
34013070C20,0
34013070C22,0
34013070C23,0
34013070C28,0
34013070C29,0
34013070C32,0
34013070C34,0
34013070C35,0
34013070C37,0
34013070C38,0
34013070C39,0
34013070C40,0
34013070C41,0
34013070C42,0
34013070C43,0
34013070C44,0
34013070C45,0
34013070C46,0
34013070C47,0
34013070C49,0
34013070E01,0
34013070E02,0
34013070E03,0
34013070E04,0
34013070E06,0
34013070E07,0
34013070E08,0
34013070E09,0
